timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704216012768,171,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-204,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,171
1704216012753,186,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-173,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,186
1704216012752,186,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-6,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,186
1704216012752,188,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-126,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,188
1704216012754,186,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-70,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,185
1704216012753,187,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-165,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,187
1704216012752,187,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-54,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,187
1704216012752,188,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-157,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,187
1704216012753,186,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-37,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,186
1704216012753,187,获取登录用户信息,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",线程组 1-128,text,false,test error,2630,0,301,301,http://localhost:8080/api/account/info,0,0,187
