timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704215895421,116,获取登录用户信息,200,,线程组 1-82,text,true,,619,444,104,104,http://localhost:8080/api/account/info,114,0,30
1704215895327,209,获取登录用户信息,200,,线程组 1-20,text,true,,619,444,104,104,http://localhost:8080/api/account/info,183,0,123
1704215895433,103,获取登录用户信息,200,,线程组 1-84,text,true,,619,444,104,104,http://localhost:8080/api/account/info,78,0,18
1704215895327,209,获取登录用户信息,200,,线程组 1-41,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,122
1704215895330,206,获取登录用户信息,200,,线程组 1-21,text,true,,619,444,104,104,http://localhost:8080/api/account/info,180,0,117
1704215895327,209,获取登录用户信息,200,,线程组 1-28,text,true,,619,444,104,104,http://localhost:8080/api/account/info,197,0,121
1704215895326,209,获取登录用户信息,200,,线程组 1-19,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,122
1704215895326,209,获取登录用户信息,200,,线程组 1-4,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,123
1704215895327,209,获取登录用户信息,200,,线程组 1-46,text,true,,619,444,104,104,http://localhost:8080/api/account/info,186,0,124
1704215895327,209,获取登录用户信息,200,,线程组 1-47,text,true,,619,444,104,104,http://localhost:8080/api/account/info,199,0,124
1704215895326,209,获取登录用户信息,200,,线程组 1-10,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,122
1704215895327,210,获取登录用户信息,200,,线程组 1-57,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,124
1704215895327,210,获取登录用户信息,200,,线程组 1-58,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,122
1704215895327,209,获取登录用户信息,200,,线程组 1-29,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,123
1704215895447,90,获取登录用户信息,200,,线程组 1-87,text,true,,619,444,104,104,http://localhost:8080/api/account/info,64,0,3
1704215895327,209,获取登录用户信息,200,,线程组 1-36,text,true,,619,444,104,104,http://localhost:8080/api/account/info,194,0,123
1704215895327,209,获取登录用户信息,200,,线程组 1-45,text,true,,619,444,104,104,http://localhost:8080/api/account/info,184,0,124
