timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704215766400,1248,获取登录用户信息,200,,线程组 1-13,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1247,0,120
1704215766407,1241,获取登录用户信息,200,,线程组 1-29,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1240,0,113
1704215766576,1075,获取登录用户信息,200,,线程组 1-46,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1071,0,2
1704215766666,985,获取登录用户信息,200,,线程组 1-55,text,true,,619,444,100,100,http://localhost:8080/api/account/info,981,0,1
1704215766636,1014,获取登录用户信息,200,,线程组 1-52,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1011,0,1
1704215766795,855,获取登录用户信息,200,,线程组 1-68,text,true,,619,444,100,100,http://localhost:8080/api/account/info,852,0,1
1704215766627,1023,获取登录用户信息,200,,线程组 1-51,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1020,0,1
1704215766645,1005,获取登录用户信息,200,,线程组 1-53,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1002,0,1
1704215766400,1248,获取登录用户信息,200,,线程组 1-16,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1244,0,120
1704215766696,952,获取登录用户信息,200,,线程组 1-58,text,true,,619,444,100,100,http://localhost:8080/api/account/info,946,0,1
1704215766527,1123,获取登录用户信息,200,,线程组 1-41,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1120,0,2
1704215766516,1134,获取登录用户信息,200,,线程组 1-40,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1131,0,4
1704215766496,1153,获取登录用户信息,200,,线程组 1-38,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1149,0,23
1704215766400,1251,获取登录用户信息,200,,线程组 1-3,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1247,0,120
1704215767116,535,获取登录用户信息,200,,线程组 1-100,text,true,,619,444,100,100,http://localhost:8080/api/account/info,531,0,0
1704215766416,1232,获取登录用户信息,200,,线程组 1-30,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1228,0,104
1704215766805,843,获取登录用户信息,200,,线程组 1-69,text,true,,619,444,100,100,http://localhost:8080/api/account/info,842,0,1
1704215766400,1248,获取登录用户信息,200,,线程组 1-20,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1247,0,120
1704215766401,1247,获取登录用户信息,200,,线程组 1-23,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1243,0,118
1704215766676,975,获取登录用户信息,200,,线程组 1-56,text,true,,619,444,100,100,http://localhost:8080/api/account/info,971,0,0
1704215766865,783,获取登录用户信息,200,,线程组 1-75,text,true,,619,444,100,100,http://localhost:8080/api/account/info,779,0,1
1704215766587,1061,获取登录用户信息,200,,线程组 1-47,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1060,0,1
1704215766400,1248,获取登录用户信息,200,,线程组 1-17,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1247,0,119
1704215766401,1247,获取登录用户信息,200,,线程组 1-9,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1246,0,119
1704215766426,1224,获取登录用户信息,200,,线程组 1-31,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1220,0,94
1704215766715,935,获取登录用户信息,200,,线程组 1-60,text,true,,619,444,100,100,http://localhost:8080/api/account/info,927,0,1
1704215766896,754,获取登录用户信息,200,,线程组 1-78,text,true,,619,444,100,100,http://localhost:8080/api/account/info,750,0,0
1704215766400,1250,获取登录用户信息,200,,线程组 1-15,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1242,0,119
1704215766400,1250,获取登录用户信息,200,,线程组 1-28,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1242,0,120
1704215766925,725,获取登录用户信息,200,,线程组 1-81,text,true,,619,444,100,100,http://localhost:8080/api/account/info,717,0,0
1704215766400,1250,获取登录用户信息,200,,线程组 1-19,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1242,0,120
1704215766456,1194,获取登录用户信息,200,,线程组 1-34,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1186,0,63
1704215766400,1250,获取登录用户信息,200,,线程组 1-10,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1242,0,120
1704215766400,1250,获取登录用户信息,200,,线程组 1-7,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1242,0,119
1704215766745,905,获取登录用户信息,200,,线程组 1-63,text,true,,619,444,100,100,http://localhost:8080/api/account/info,897,0,1
1704215766875,775,获取登录用户信息,200,,线程组 1-76,text,true,,619,444,100,100,http://localhost:8080/api/account/info,767,0,0
1704215767057,593,获取登录用户信息,200,,线程组 1-94,text,true,,619,444,100,100,http://localhost:8080/api/account/info,585,0,0
1704215766906,744,获取登录用户信息,200,,线程组 1-79,text,true,,619,444,100,100,http://localhost:8080/api/account/info,736,0,1
1704215766400,1248,获取登录用户信息,200,,线程组 1-6,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1247,0,120
1704215766400,1250,获取登录用户信息,200,,线程组 1-21,text,true,,619,444,100,100,http://localhost:8080/api/account/info,1242,0,120
1704215766736,914,获取登录用户信息,200,,线程组 1-62,text,true,,619,444,100,100,http://localhost:8080/api/account/info,906,0,1
1704215767065,585,获取登录用户信息,200,,线程组 1-95,text,true,,619,444,100,100,http://localhost:8080/api/account/info,577,0,1
1704215767037,613,获取登录用户信息,200,,线程组 1-92,text,true,,619,444,100,100,http://localhost:8080/api/account/info,609,0,1
1704215766755,895,获取登录用户信息,200,,线程组 1-64,text,true,,619,444,100,100,http://localhost:8080/api/account/info,887,0,1
